NO.,FRENCH VERSION,ENGLISH VERSION
1,".Posséder des choses a un coût, et l'argent en est le moindre. -David Caïn",".Owning things has a cost, and money is the least of it. -David Cain"
2,« Les opportunités ne se présentent pas. Vous les créez. — Chris Grosser, “Opportunities don’t happen. You create them.” — Chris Grosser
3,"A attendre que l'herbe pousse, le bœuf meurt de faim.","While the grass grows, the steer starves."
4,"A bon chat, bon rat",Two can play that game
5,"A cause d'un grand amour, on est courageux. Lao Tseu","Because of a great love, one is courageous. Lao Tzu"
6,A chaque jour suffit sa peine,Sufficient unto the day is the evil thereof (GB)
7,"A cheval donné, on ne regarde pas la bouche",Never look a gift horse in the mouth
8,"A colleter un gueux, on devient pouilleux.","Sue a beggar, and catch a louse."
9,"A demande insolente, réponse tranchante",Shameless craving must have a shameful nay.
10,A la pondeuse d'être couveuse.,Every bird must hatch her own eggs.
11,"A l'esprit qui est immobile, l'univers entier s'abandonne. -Lao Tseu","To the mind that is still, the whole universe surrenders. -Lao Tzu"
12,"À moins que vous ne croyiez, vous ne comprendrez pas. Augustin d'Hippone","Unless you believe, you will not understand. Augustine of Hippo"
13,A tout seigneur tout honneur,You must give honor when honor is due ( US )
14,"A une époque de tromperie, dire la vérité est un acte révolutionnaire. -George Orwell",In a time of deceit telling the truth is a revolutionary act. -George Orwell
15,"A vaincre sans péril, on triomphe sans gloire",Triumph without peril brings no glory
16,Abandonner est le plus grand échec. Jack Ma,Giving up is the greatest failure. Jack Ma
17,Abondance de biens ne nuit pas.,Plenty is no plague = There's no harm in having too much
18,Acceptez qui vous êtes. Sauf si vous êtes un tueur en série. -Ellen Degeneres,Accept who you are. Unless you’re a serial killer. -Ellen DeGeneres
19,"Achetez moins, choisissez bien.- Vivienne Westwood","Buy less, choose well.- Vivienne Westwood"
20,Advienne que pourra,Come what may
21,Agissez comme si ce que vous faites fait une différence. Cela fait. Guillaume James,Act as if what you do makes a difference. It does. William James
22,Aide-toi et le ciel t'aidera,God helps those who help themselves
23,"Aidez-moi, je vous aiderai = Si vous me rendez ce service, je vous le revaudrai","You scratch my back, and I'll scratch yours"
24,Aime la vie que tu vis. Menez la vie que vous aimez. -Bob Marley,Love the life you live. Lead the life you love. -Bob Marley
25,"Aimer la beauté, c'est voir la lumière. -Victor Hugo",To love beauty is to see light. -Victor Hugo
26,"Aimer, c'est agir. -Victor Hugo",To love is to act. -Victor Hugo 
27,"Aimer, c'est recevoir un aperçu du ciel. -Karen Sunde",To love is to receive a glimpse of heaven. -Karen Sunde
28,Aimez le pécheur et haïssez le péché. -Augustin d'Hippone,Love the sinner and hate the sin. -Augustine of Hippo
